,date,open,high,low,close,volume,ma5,ma10,ma30,ma60,ma120,ha_open,ha_close,ha_high,ha_low,cci,dc_upper,dc_lower,dc_middle,dc_middle1,dc_middle2,lb,dc_dump_pct,dc_lower_diff,down_count,up_count,lt_middle_count,gt_middle_count,lt_cci,enter_tag,enter_long,enter_short
474,2024-05-20 06:00:00+08:00,66292.5,66463.9,66250.0,66359.1,1551.743,66133.5,66396.89,66743.61666666667,66698.91333333333,65652.86166666666,66260.93398658733,66341.375,66463.9,66250.0,-80.64648357439386,67794.0,65887.0,66840.5,67317.25,66363.75,363.0,0.028129332979319705,0.0,13.0,1.0,12.0,8.0,2.0,,1,0
521,2024-05-22 05:00:00+08:00,69720.7,69823.8,69468.1,69736.4,1151.889,69399.22,69813.12999999999,69972.45333333334,68270.045,67375.86666666667,69621.76785810519,69687.25,69823.8,69468.1,-74.58316305155338,71455.0,69180.0,70317.5,70886.25,69748.75,288.1000000000058,0.031838219858652296,0.0,13.0,1.0,7.0,13.0,0.0,,1,0
530,2024-05-22 14:00:00+08:00,69939.6,70106.0,69816.2,69895.6,1777.101,69671.3,69768.4,70219.16666666667,68729.09166666666,67714.8075,69825.43987862911,69939.35,70106.0,69816.2,19.60213606283949,71455.0,69180.0,70317.5,70886.25,69748.75,636.1999999999971,0.031838219858652296,0.0,11.0,3.0,16.0,4.0,0.0,,1,0
538,2024-05-22 22:00:00+08:00,69599.9,70190.8,69457.7,70118.2,7624.019,69618.45999999999,69657.9,69880.61,69198.12333333334,67955.94166666667,69765.5718354634,69841.65000000001,70190.8,69457.7,7.990205786510682,70386.0,69180.0,69783.0,70084.5,69481.5,277.6999999999971,0.01713408916545904,0.0,9.0,3.0,17.0,3.0,0.0,,1,0
548,2024-05-23 08:00:00+08:00,69182.1,69649.8,69182.1,69512.7,2910.536,69101.4,69399.26,69576.82333333333,69649.87000000001,68184.5975,69293.08039241745,69381.675,69649.8,69182.1,-61.32168298218248,70691.2,68844.0,69767.6,70229.4,69305.8,338.1000000000058,0.026130550903082663,0.0,12.0,1.0,14.0,6.0,0.0,,1,0
569,2024-05-24 05:00:00+08:00,67817.1,68384.2,67127.1,67988.1,12669.859,66972.6,67461.46,68748.99333333333,69298.62999999999,68479.5075,67413.1270131852,67829.125,68384.2,67127.1,-46.73077160265506,70118.0,66242.5,68180.25,69149.125,67211.375,884.6000000000058,0.05527111440714225,0.0,10.0,1.0,19.0,1.0,0.0,,1,0
581,2024-05-24 17:00:00+08:00,67205.4,67476.8,67041.5,67385.2,3282.631,66883.94,67285.31,67945.20666666667,68761.99166666667,68516.01833333334,67149.05860644853,67277.225,67476.8,67041.5,-57.746240957636616,69177.00768770705,66242.5,67709.75384385353,68443.38076578028,66976.12692192677,799.0,0.04242027496989471,0.0,13.0,1.0,20.0,0.0,0.0,,1,0
644,2024-05-27 08:00:00+08:00,68515.0,68826.6,68475.0,68826.6,1576.478,68432.88,68579.32,68876.94666666667,68732.30333333333,68681.27,68559.54120954106,68660.8,68826.6,68475.0,-48.118883563008545,69580.3,68153.8,68867.05,69223.675,68510.425,321.1999999999971,0.020501492520152972,0.0,13.0,2.0,17.0,3.0,1.0,,1,0
652,2024-05-27 16:00:00+08:00,68655.0,68946.3,68519.0,68627.4,3364.149,68465.18000000001,68575.51000000001,68756.98666666666,68806.66666666667,68608.88166666667,68581.02555159977,68686.92499999999,68946.3,68519.0,-11.291180638299016,69407.9,68153.8,68780.85,69094.375,68467.32500000001,365.1999999999971,0.01806854839290616,0.0,13.0,2.0,15.0,5.0,0.0,,1,0
657,2024-05-27 21:00:00+08:00,68631.6,69057.9,68602.8,68924.0,4626.616,68414.3,68439.73999999999,68663.07,68790.40833333334,68555.38083333333,68529.13126723749,68804.075,69057.9,68529.13126723749,52.96586795065317,69321.7,68153.8,68737.75,69029.725,68445.775,375.33126723748865,0.016847538361003757,0.0,13.0,2.0,15.0,5.0,0.0,,1,0
677,2024-05-28 17:00:00+08:00,68161.0,68533.0,68027.3,68326.2,3850.323,67749.24,68003.75,68655.23666666666,68755.85500000001,68447.8025,67931.37961183192,68261.875,68533.0,67931.37961183192,-36.76184261511677,70740.0,67488.2,69114.1,69927.05,68301.15,443.179611831918,0.04596833474696074,0.0,13.0,1.0,12.0,8.0,0.0,,1,0
687,2024-05-29 03:00:00+08:00,67907.6,68634.0,67893.3,68451.0,4735.958,67652.24,67810.62999999999,68445.53333333334,68554.30166666667,68429.3025,67849.46186973812,68221.475,68634.0,67849.46186973812,66.73029125136644,69600.0,67250.0,68425.0,69012.5,67837.5,599.4618697381229,0.033764367816091954,0.0,15.0,2.0,20.0,0.0,0.0,,1,0
705,2024-05-29 21:00:00+08:00,67913.4,68290.8,67600.2,67904.3,9493.828,67690.28,67985.54000000001,68015.14666666667,68372.475,68567.44333333333,67888.39133124112,67927.175,68290.8,67600.2,-65.56833783079982,68953.6,67250.0,68101.8,68527.70000000001,67675.9,350.1999999999971,0.024706469277891302,0.0,10.0,1.0,9.0,11.0,0.0,,1,0
713,2024-05-30 05:00:00+08:00,67480.0,67872.5,67300.0,67699.8,1679.396,67241.16,67333.73,67845.63333333333,68197.925,68499.02083333333,67405.51705598141,67588.075,67872.5,67300.0,-16.69502836169407,68953.6,67126.7,68040.15,68496.875,67583.42499999999,173.3000000000029,0.026494628271765484,0.0,15.0,1.0,14.0,6.0,0.0,,1,0
759,2024-06-01 03:00:00+08:00,67424.0,68026.2,67354.5,67691.9,5141.824,67106.62,67537.29000000001,68060.28666666667,67814.4,68133.87666666666,67353.21659428073,67624.15,68026.2,67353.21659428073,-33.1183756631799,69062.8,66639.0,67850.9,68456.85,67244.95,714.2165942807333,0.03509559415488516,0.0,13.0,1.0,15.0,5.0,1.0,,1,0
