,date,open,high,low,close,volume,ma5,ma10,ma30,ma60,ma120,ha_open,ha_close,ha_high,ha_low,cci,dc_upper,dc_lower,dc_middle,dc_middle1,dc_middle2,lb,dc_dump_pct,dc_lower_diff,down_count,up_count,lt_middle_count,gt_middle_count,lt_cci,enter_tag,enter_long,enter_short
654,2024-01-27 18:00:00+08:00,41676.4,41811.9,41653.4,41753.5,2576.45,41548.82,41663.68,41250.70333333334,40558.23,40100.07,41615.56188761427,41723.8,41811.9,41615.56188761427,-35.96879034007955,42245.0,41160.133510213884,41702.56675510694,41973.78337755347,41431.35013266042,455.4283774003852,0.025680352462684727,149.26648978611047,7.0,3.0,1.0,19.0,1.0,,1,0
689,2024-01-29 05:00:00+08:00,41946.5,42039.2,41804.2,41979.3,2594.19,41848.12,42032.8,42082.39333333333,41810.82666666667,40817.0725,41934.886532511024,41942.3,42039.2,41804.2,-104.74884275324557,42849.6,41680.0,42264.8,42557.2,41972.4,124.19999999999709,0.027295470669504468,0.0,9.0,1.0,7.0,13.0,2.0,,1,0
691,2024-01-29 07:00:00+08:00,41842.0,42087.0,41750.0,42036.6,2774.96,41715.36,41915.9,42075.53666666667,41854.35666666667,40856.16333333333,41897.15913312776,41928.9,42087.0,41750.0,-63.556719264017026,42849.6,41615.0,42232.3,42540.95,41923.65,135.0,0.028812404316493002,0.0,8.0,2.0,9.0,11.0,2.0,,1,0
743,2024-01-31 11:00:00+08:00,42882.1,42990.7,42856.2,42925.5,2391.04,42753.12,43062.6,43196.27333333333,42674.32833333334,42147.753333333334,42899.44273104285,42913.625,42990.7,42856.2,-88.92686761272502,43908.5,42650.0,43279.25,43593.875,42964.625,206.1999999999971,0.028661876402063382,0.0,6.0,4.0,12.0,8.0,2.0,,1,0
803,2024-02-02 23:00:00+08:00,42802.0,43249.2,42751.0,43232.3,11069.05,42804.44,42907.08,42737.13,42628.53666666667,42651.432499999995,42877.95768316231,43008.625,43249.2,42751.0,25.811926251630993,43440.0,42551.0,42995.5,43217.75,42773.25,200.0,0.02046500920810313,0.0,4.0,6.0,2.0,18.0,2.0,,1,0
845,2024-02-04 17:00:00+08:00,42798.1,43000.0,42740.1,42939.8,3725.09,42767.4,42862.03999999999,42968.5,42970.03166666666,42830.689999999995,42829.64023654995,42869.5,43000.0,42740.1,-52.48183484617365,43275.3,42723.0,42999.15,43137.225000000006,42861.075,17.099999999998545,0.012762476516627335,0.0,6.0,4.0,18.0,2.0,1.0,,1,0
863,2024-02-05 11:00:00+08:00,42460.6,42730.0,42449.5,42721.1,3243.92,42393.64,42473.11,42748.2,42886.19499999999,42757.36583333333,42489.843270836776,42590.3,42730.0,42449.5,-29.646105611040444,43126.2,42150.0,42638.1,42882.149999999994,42394.05,299.5,0.022635891870834833,0.0,8.0,2.0,15.0,5.0,1.0,,1,0
913,2024-02-07 13:00:00+08:00,42928.6,43056.0,42885.0,43029.5,1936.36,42904.18000000001,42986.25,42869.63,42759.63333333333,42859.07833333334,42940.13873826355,42974.775,43056.0,42885.0,-89.07848426460316,43399.5,42658.7,43029.1,43214.3,42843.899999999994,226.3000000000029,0.01706932107512766,0.0,7.0,3.0,3.0,17.0,1.0,,1,0
1070,2024-02-14 02:00:00+08:00,48846.1,49266.2,48823.0,49108.6,6724.44,48476.72,49090.38,49388.71666666667,48708.62,47794.42833333334,48744.359907746286,49010.975,49266.2,48744.359907746286,-60.04358105190809,50438.8,48282.0,49360.4,49899.600000000006,48821.2,462.3599077462859,0.04276073181756907,0.0,8.0,2.0,6.0,14.0,3.0,,1,0
1165,2024-02-18 01:00:00+08:00,50955.8,51279.0,50951.0,51216.2,3819.87,50800.759999999995,51210.06,51644.65666666667,51737.96333333334,50960.81416666666,51011.278715933906,51100.5,51279.0,50951.0,-74.59049829245006,52230.8,50621.0,51425.9,51828.350000000006,51023.45,330.0,0.030820894950871952,0.0,9.0,1.0,19.0,1.0,2.0,,1,0
1257,2024-02-21 21:00:00+08:00,51312.9,51448.9,50900.0,51195.9,8228.69,50804.8,51231.4,51592.77666666666,51738.939999999995,51669.440833333334,51129.74661548117,51214.424999999996,51448.9,50900.0,-85.05169144185504,52545.8,50470.0,51507.9,52026.850000000006,50988.95,430.0,0.03950458457193539,0.0,9.0,1.0,10.0,10.0,1.0,,1,0
1319,2024-02-24 11:00:00+08:00,50811.4,50866.7,50685.6,50855.4,1237.53,50621.8,50783.520000000004,50927.89,51116.21666666667,51406.723333333335,50749.36186821373,50804.775,50866.7,50685.6,-65.95209023480997,51348.3,50533.0,50940.65,51144.475000000006,50736.825,152.59999999999854,0.015877838214702393,0.0,7.0,3.0,19.0,1.0,1.0,,1,0
1358,2024-02-26 02:00:00+08:00,51572.6,51592.0,51505.0,51589.4,766.79,51438.7,51504.2,51448.53666666666,51163.85666666667,51256.63666666667,51515.164633091386,51564.75,51592.0,51505.0,-70.68426487855183,51921.0,51280.0,51600.5,51760.75,51440.25,225.0,0.012345679012345678,0.0,7.0,3.0,4.0,16.0,1.0,,1,0
1377,2024-02-26 21:00:00+08:00,51238.9,51449.5,51210.8,51238.2,4206.94,51017.64,51209.08,51427.83666666667,51328.479999999996,51224.934166666666,51146.63231909682,51284.350000000006,51449.5,51146.63231909682,-32.140687103554846,51989.6,50907.0,51448.3,51718.95,51177.65,239.6323190968178,0.020823395448320407,0.0,6.0,4.0,14.0,6.0,1.0,,1,0
1456,2024-03-01 04:00:00+08:00,61653.9,62308.7,61565.9,61945.0,8977.75,60939.880000000005,61704.2,61271.98333333333,59241.28833333334,55807.26666666667,61380.76742801913,61868.375,62308.7,61380.76742801913,-48.95514920049587,63733.3,60414.1,62073.7,62903.5,61243.899999999994,966.6674280191291,0.052079525146195224,0.0,6.0,4.0,4.0,16.0,2.0,,1,0
1517,2024-03-03 17:00:00+08:00,61634.6,61943.0,61596.4,61754.5,3426.09,61616.3,61699.240000000005,61769.7,61693.535,60503.90583333333,61718.47986282816,61732.125,61943.0,61596.4,-61.45591046219718,62246.5,61333.0,61789.75,62018.125,61561.375,263.40000000000146,0.014675523925039962,0.0,6.0,4.0,15.0,5.0,1.0,,1,0
1578,2024-03-06 06:00:00+08:00,63259.8,63581.0,62428.1,63397.6,7107.49,61620.8,63686.52999999999,65718.04,64539.25166666667,63124.45416666667,62802.77409088729,63166.625,63581.0,62428.1,-79.8388215368882,69333.0,58900.0,64116.5,66724.75,61508.25,3528.0999999999985,0.15047668498406241,0.0,6.0,4.0,11.0,9.0,2.0,,1,0
1702,2024-03-11 10:00:00+08:00,68324.2,68547.0,68272.0,68341.2,3405.93,67831.2,68529.1,68791.0,68400.02666666667,67370.71833333334,68317.9863900384,68371.1,68547.0,68272.0,-88.61859991721731,69974.0,66900.0,68437.0,69205.5,67668.5,1372.0,0.04393060279532398,0.0,7.0,3.0,6.0,14.0,2.0,,1,0
1730,2024-03-12 14:00:00+08:00,71981.6,72299.0,71460.0,72290.9,6706.62,71610.22,71863.76999999999,70973.32666666666,69890.895,68659.8575,71902.42191756159,72007.875,72299.0,71460.0,-57.08899317790894,72855.9,71316.1,72086.0,72470.95,71701.05,143.89999999999418,0.021134870339944857,265.0209516014147,6.0,4.0,2.0,18.0,1.0,,1,0
1742,2024-03-13 02:00:00+08:00,71143.0,71538.0,70486.4,71430.2,13090.64,70317.26,71011.78,71565.53,70404.305,69105.34416666666,70919.09804612245,71149.4,71538.0,70486.4,-87.34004639650648,73389.9,68580.0,70984.95,72187.42499999999,69782.475,1906.3999999999942,0.06553899106007767,0.0,5.0,5.0,11.0,9.0,2.0,,1,0
1803,2024-03-15 15:00:00+08:00,68665.3,68879.9,68138.1,68438.6,6900.01,67276.24,68957.8,70749.66,71481.05166666668,70958.87833333333,68113.63953858822,68530.475,68879.9,68113.63953858822,-65.50315663839406,73069.88234388098,66700.0,69884.94117194049,71477.41175791074,68292.47058597024,1413.6395385882206,0.08717521008044164,0.0,5.0,5.0,16.0,4.0,1.0,,1,0
1835,2024-03-16 23:00:00+08:00,68200.1,68516.2,67852.0,68383.9,4123.83,67718.36,68281.43000000001,68189.63333333333,69249.59000000001,70587.58249999999,68016.549957562,68238.04999999999,68516.2,67852.0,-65.53502497402697,70080.0,67366.0,68723.0,69401.5,68044.5,486.0,0.03872716894977169,0.0,6.0,4.0,9.0,11.0,1.0,,1,0
1961,2024-03-22 05:00:00+08:00,65485.3,65733.3,65077.1,65647.9,1974.23,65002.8,65740.97,66040.77,64380.89833333333,65486.93666666667,65431.48455697447,65485.9,65733.3,65077.1,-93.8020452279992,67981.2,64502.0,66241.6,67111.4,65371.8,575.0999999999985,0.051178855330591355,0.0,8.0,2.0,6.0,14.0,2.0,,1,0
2215,2024-04-01 19:00:00+08:00,69566.4,69826.2,69470.1,69490.0,3687.41,69371.26,69643.79000000001,70218.75666666667,70045.39166666666,69908.52333333333,69493.84827189115,69588.17499999999,69826.2,69470.1,-57.87020469410692,71444.0,68850.0,70147.0,70795.5,69498.5,620.1000000000058,0.03630815743799339,0.0,9.0,1.0,9.0,11.0,1.0,,1,0
2415,2024-04-10 03:00:00+08:00,68876.8,69162.7,68658.8,69004.3,2384.26,68529.88,69263.28,70502.02333333335,70125.16333333333,68932.26416666668,68916.91010454868,68925.65,69162.7,68658.8,-80.51876700388428,71798.74361608195,68168.8,69983.77180804097,70891.25771206146,69076.28590402048,490.0,0.050557202442033926,0.0,7.0,3.0,16.0,4.0,2.0,,1,0
2434,2024-04-10 22:00:00+08:00,68262.4,68978.0,68000.7,68703.9,13444.37,68106.63999999998,68583.42,68947.93,69968.84000000001,69188.19166666667,68378.48793346425,68486.25,68978.0,68000.7,-87.73960478306587,69626.0,67507.5,68566.75,69096.375,68037.125,493.1999999999971,0.03042685203803177,0.0,6.0,4.0,19.0,1.0,2.0,,1,0
2461,2024-04-12 01:00:00+08:00,70019.0,70446.9,70003.5,70214.9,3884.89,69670.43999999999,69974.93000000001,69703.04333333333,69446.19166666667,69700.91166666667,69965.24726533955,70171.075,70446.9,69965.24726533955,-43.182363552115916,71323.7,69550.4,70437.04999999999,70880.375,69993.72499999999,414.84726533955836,0.024862703421162993,0.0,8.0,2.0,4.0,16.0,1.0,,1,0
2491,2024-04-13 07:00:00+08:00,67069.2,67249.9,66824.0,67125.1,1972.23,66679.18,67262.53,69310.37666666666,69506.71,69774.795,67061.85922452703,67067.04999999999,67249.9,66824.0,-68.23536037499608,71255.2,64800.1,68027.65,69641.42499999999,66413.875,2023.9000000000015,0.09059128316249199,0.0,9.0,1.0,11.0,9.0,1.0,,1,0
2514,2024-04-14 06:00:00+08:00,62924.4,64597.6,62128.0,64293.4,18499.95,62684.0,64939.670000000006,66146.08666666667,68105.05333333333,68858.91750000001,63471.760504449514,63485.85,64597.6,62128.0,-104.65245937707517,67953.3,59666.0,63809.65,65881.475,61737.825,2462.0,0.12195581377210529,0.0,6.0,4.0,12.0,8.0,3.0,,1,0
2606,2024-04-18 02:00:00+08:00,61290.4,61979.4,61168.7,61449.9,12890.73,60285.7,61412.71000000001,62459.98333333333,63035.22333333334,64019.67083333333,60818.32682302134,61472.1,61979.4,60818.32682302134,-56.98898163414376,64540.7,59602.2,62071.45,63306.075,60836.825,1216.1268230213464,0.0765176082688908,0.0,9.0,1.0,9.0,11.0,1.0,,1,0
2640,2024-04-19 12:00:00+08:00,61766.7,62747.0,61750.1,62426.0,10478.34,61137.5,62186.7,61865.21,62094.99666666667,62926.36166666667,61635.49468292913,62172.45,62747.0,61635.49468292913,-48.038507553426726,64155.0,59568.0,61861.5,63008.25,60714.75,2067.4946829291293,0.07149871405190554,0.0,5.0,5.0,3.0,17.0,2.0,,1,0
2705,2024-04-22 05:00:00+08:00,64654.1,65178.9,64625.5,64665.6,4115.79,64512.9,64613.409999999996,64724.543333333335,64276.329999999994,63214.89,64638.19257393524,64781.025,65178.9,64625.5,-19.28979579997698,65717.3,64223.1,64970.2,65343.75,64596.649999999994,402.40000000000146,0.02273678316059857,0.0,7.0,3.0,9.0,11.0,1.0,,1,0
2795,2024-04-25 23:00:00+08:00,63393.3,64184.0,63265.1,64123.0,7710.198,63190.52,63483.01000000001,64183.1,65237.00666666667,65253.567500000005,63504.528293845986,63741.35,64184.0,63265.1,-16.85056688661375,64742.0,62762.6,63752.3,64247.15,63257.45,502.5,0.030573661610700957,0.0,8.0,2.0,20.0,0.0,1.0,,1,0
2821,2024-04-27 01:00:00+08:00,63671.7,64134.6,63565.0,64006.1,6037.764,63536.46,63830.81000000001,63986.5,64307.64666666666,65115.3225,63764.47054804531,63844.35,64134.6,63565.0,-89.05223473343007,64823.0,63320.3,64071.65,64447.325,63695.975000000006,244.6999999999971,0.023181586782469142,0.0,7.0,3.0,7.0,13.0,2.0,,1,0
2825,2024-04-27 05:00:00+08:00,63985.5,64080.0,63809.4,64054.5,1219.362,63760.04,63686.420000000006,64077.75666666667,64130.42833333334,65091.870833333334,63911.83565925283,63982.35,64080.0,63809.4,-26.10546952779571,64823.0,63320.3,64071.65,64447.325,63695.975000000006,489.09999999999854,0.023181586782469142,0.0,6.0,4.0,11.0,9.0,1.0,,1,0
2832,2024-04-27 12:00:00+08:00,63074.3,63185.0,62935.6,63060.3,1910.876,62680.9,63212.85,63737.29,63839.603333333325,64986.079999999994,63016.73191921291,63063.8,63185.0,62935.6,-84.74009861011851,64823.0,62355.8,63589.4,64206.2,62972.600000000006,579.7999999999956,0.03806056492294397,0.0,8.0,2.0,18.0,2.0,1.0,,1,0
2935,2024-05-01 19:00:00+08:00,57760.0,57912.0,57466.0,57886.7,5858.542,56991.5,58408.81,59931.78666666666,61299.11833333333,62302.47583333333,57550.41460854414,57756.175,57912.0,57466.0,-81.02613344876558,61074.3,56528.8,58801.55,59937.925,57665.175,937.1999999999971,0.07442574045056595,0.0,8.0,2.0,20.0,0.0,2.0,,1,0
3024,2024-05-05 12:00:00+08:00,63244.1,63431.6,63235.8,63344.8,1758.914,63129.920000000006,63376.65,63189.37666666667,61559.17333333333,60188.09,63283.405431632345,63314.075,63431.6,63235.8,-82.52428523282356,64539.1,62863.6,63701.35,64120.225,63282.475,372.20000000000437,0.02596100658360591,0.0,6.0,4.0,4.0,16.0,1.0,,1,0
3026,2024-05-05 14:00:00+08:00,63221.5,63473.2,63168.0,63391.1,1431.097,63131.159999999996,63266.1,63214.76,61698.505000000005,60187.956666666665,63296.557607908086,63313.450000000004,63473.2,63168.0,-56.20192529132557,64539.1,62863.6,63701.35,64120.225,63282.475,304.40000000000146,0.02596100658360591,0.0,7.0,3.0,6.0,14.0,1.0,,1,0
3117,2024-05-09 09:00:00+08:00,61405.2,61575.0,61384.7,61561.9,2093.114,61171.08,61599.759999999995,62054.67333333333,62646.10833333333,63095.39,61343.59414010541,61481.7,61575.0,61343.59414010541,-66.28815300501059,62859.3,60892.4,61875.850000000006,62367.575000000004,61384.125,451.1941401054064,0.03129051707543675,0.0,7.0,3.0,18.0,2.0,3.0,,1,0
3303,2024-05-17 03:00:00+08:00,65122.9,65581.0,65088.2,65180.1,4077.191,64998.86,65431.48999999999,65488.41,63598.21666666667,62608.90083333334,65202.562345435785,65243.049999999996,65581.0,65088.2,-93.58837113102362,66799.0,64600.0,65699.5,66249.25,65149.75,488.1999999999971,0.0329196544858456,0.0,6.0,4.0,5.0,15.0,1.0,,1,0
3305,2024-05-17 05:00:00+08:00,65271.8,65511.9,65244.8,65463.4,1379.573,64958.840000000004,65249.329999999994,65552.69666666667,63711.925,62681.209166666675,65210.09058635894,65372.975,65511.9,65210.09058635894,-49.578086755089444,66799.0,64600.0,65699.5,66249.25,65149.75,610.0905863589433,0.0329196544858456,0.0,7.0,3.0,7.0,13.0,1.0,,1,0
3378,2024-05-20 06:00:00+08:00,66292.5,66463.9,66250.0,66359.1,1551.743,66133.5,66396.89,66743.61666666667,66698.91333333334,65652.86166666666,66260.93398658733,66341.375,66463.9,66250.0,-80.64648357439386,67794.0,65887.0,66840.5,67317.25,66363.75,363.0,0.028129332979319705,0.0,9.0,1.0,12.0,8.0,1.0,,1,0
3380,2024-05-20 08:00:00+08:00,66272.3,66507.2,66150.0,66463.1,2391.968,66121.28,66282.38,66704.05333333333,66699.84666666666,65731.97583333334,66299.97724664683,66348.15,66507.2,66150.0,-53.6940330899642,67794.0,65887.0,66840.5,67317.25,66363.75,263.0,0.028129332979319705,0.0,8.0,2.0,14.0,6.0,1.0,,1,0
3609,2024-05-29 21:00:00+08:00,67913.4,68290.8,67600.2,67904.3,9493.828,67690.28,67985.54000000001,68015.14666666667,68372.475,68567.44333333333,67888.39133124112,67927.175,68290.8,67600.2,-65.56833783079982,68953.6,67250.0,68101.8,68527.70000000001,67675.9,350.1999999999971,0.024706469277891302,0.0,8.0,2.0,9.0,11.0,1.0,,1,0
3655,2024-05-31 19:00:00+08:00,68343.8,68475.5,68281.7,68362.2,2405.708,68060.08,68220.05,68122.7,67953.82333333333,68228.74833333334,68147.44813586699,68365.8,68475.5,68147.44813586699,6.8801837963988,69523.9,67873.5,68698.7,69111.29999999999,68286.1,273.9481358669873,0.023738599244288575,0.0,6.0,4.0,7.0,13.0,1.0,,1,0
3663,2024-06-01 03:00:00+08:00,67424.0,68026.2,67354.5,67691.9,5141.824,67106.62,67537.29,68060.28666666667,67814.4,68133.87666666666,67353.21659428073,67624.15,68026.2,67353.21659428073,-33.1183756631799,69062.8,66639.0,67850.9,68456.85,67244.95,714.2165942807333,0.03509559415488516,0.0,7.0,3.0,15.0,5.0,2.0,,1,0
3703,2024-06-02 19:00:00+08:00,67548.0,68345.0,67504.2,68266.0,5492.914,67537.26,67621.93999999999,67650.31,67712.08,67799.015,67605.7509030487,67915.8,68345.0,67504.2,246.806569343069,68345.0,67380.0,67862.5,68103.75,67621.25,124.19999999999709,0.014119540566244787,0.0,8.0,2.0,2.0,18.0,2.0,,1,0
