,date,open,high,low,close,volume,ma5,ma10,ma30,ma60,ma120,ha_open,ha_close,ha_high,ha_low,cci,dc_upper,dc_lower,dc_middle,dc_middle1,dc_middle2,lb,dc_dump_pct,dc_lower_diff,down_count,up_count,lt_middle_count,gt_middle_count,lt_cci,enter_tag,enter_long,enter_short
84,2024-01-04 00:00:00+08:00,42976.9,43585.0,42756.0,42998.1,21011.49,41883.759999999995,43298.189999999995,44435.35333333334,44031.80166666666,,42651.273558594665,43079.0,43585.0,42651.273558594665,-61.063879712319,45535.5,40183.9,42859.7,44197.6,41521.8,2467.3735585946633,0.1175258863963281,0.0,8.0,2.0,14.0,6.0,2.0,,1,0
225,2024-01-09 21:00:00+08:00,46171.9,47088.0,46054.5,46838.1,17211.87,46158.159999999996,46399.58,45748.63,44779.70166666667,44212.098333333335,46446.41685356757,46538.125,47088.0,46054.5,3.3688042252447503,47358.0,45111.79823397302,46234.89911698651,46796.44955849326,45673.34867547976,942.7017660269776,0.04743024971550694,211.29823397302243,7.0,3.0,0.0,20.0,1.0,,1,0
238,2024-01-10 10:00:00+08:00,45939.9,46100.0,45895.8,45982.5,3225.22,45704.259999999995,45946.64,46308.979999999996,45242.51666666667,44471.745,45966.46686912275,45979.55,46100.0,45895.8,-80.75125633428138,48515.9,44634.6,46575.25,47545.575,45604.925,1261.2000000000044,0.08000057713038412,0.0,6.0,4.0,6.0,14.0,1.0,,1,0
251,2024-01-10 23:00:00+08:00,44886.4,45660.3,44802.4,45557.1,13751.08,44627.68,45089.58,45738.37666666667,45575.12666666667,44661.72416666667,45070.03294883656,45226.55,45660.3,44802.4,-46.657932223464194,48515.9,44289.0,46402.45,47459.175,45345.725,513.4000000000015,0.08712401501363473,0.0,9.0,1.0,19.0,1.0,1.0,,1,0
357,2024-01-15 09:00:00+08:00,42293.2,42421.6,42186.1,42286.9,3099.89,41926.86,42294.12,42597.99666666667,42754.60666666667,44298.864166666666,42135.66968680651,42296.95,42421.6,42135.66968680651,-67.42491886633616,43095.8,41718.0,42406.9,42751.350000000006,42062.45,417.6696868065119,0.031970632869096356,0.0,6.0,4.0,9.0,11.0,3.0,,1,0
422,2024-01-18 02:00:00+08:00,42375.8,42621.5,42275.1,42620.7,2737.38,42315.2,42440.659999999996,42709.73,42657.18666666666,42646.36583333333,42434.185871062014,42473.274999999994,42621.5,42275.1,-83.20778716620283,43292.6,42207.0,42749.8,43021.2,42478.4,68.09999999999854,0.02507587901858513,0.0,7.0,3.0,13.0,7.0,1.0,,1,0
450,2024-01-19 06:00:00+08:00,41124.0,41371.8,41070.4,41351.0,3059.28,40929.759999999995,41528.4,42208.62666666667,42477.941666666666,42525.403333333335,41132.605668926466,41229.3,41371.8,41070.4,-82.34773968638228,42928.0,40676.0,41802.0,42365.0,41239.0,394.40000000000146,0.05245993291092061,0.0,7.0,3.0,11.0,9.0,3.0,,1,0
470,2024-01-20 02:00:00+08:00,41236.0,41995.0,41003.2,41812.3,16364.14,40625.66,40962.810000000005,41197.49,41866.44333333333,42237.50166666667,40842.419286447206,41511.625,41995.0,40842.419286447206,113.0127372639278,41995.0,40244.0,41119.5,41557.25,40681.75,598.4192864472061,0.0416954399333254,0.0,6.0,4.0,19.0,1.0,1.0,,1,0
530,2024-01-22 14:00:00+08:00,41134.3,41331.6,41010.0,41203.9,5640.87,40959.219999999994,41225.86,41506.333333333336,41532.70166666667,41699.5725,41057.795903960396,41169.95,41331.6,41010.0,-78.14322996256938,41880.0,40675.7,41277.85,41578.925,40976.774999999994,334.3000000000029,0.028755969436485264,0.0,7.0,3.0,13.0,7.0,4.0,,1,0
563,2024-01-23 23:00:00+08:00,38770.1,39479.5,38769.6,39202.1,13604.08,38712.18,39024.490000000005,39699.886666666665,40558.34166666667,40947.75083333334,38876.96305024831,39055.325000000004,39479.5,38769.6,-41.22383252817984,40339.0,38550.6,39444.8,39891.9,38997.7,219.0,0.04433426708644244,0.0,9.0,1.0,20.0,0.0,1.0,,1,0
